,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
0,east london,-33.0153,27.9116,63.97,83,35,14.03,ZA,1634764847
1,nikolskoye,59.7035,30.7861,50.88,92,100,15.97,RU,1634764847
2,kapaa,22.0752,-159.319,81.48,68,20,3.0,US,1634764848
3,mataura,-46.1927,168.8643,47.32,63,100,1.88,NZ,1634764848
4,busselton,-33.65,115.3333,53.1,76,99,16.13,AU,1634764791
5,miranda,3.2499,-76.2281,77.13,75,89,2.19,CO,1634764848
6,sinnamary,5.3833,-52.95,81.3,78,37,9.17,GF,1634764849
7,san julian,21.0167,-102.1667,79.2,37,1,2.82,MX,1634764849
8,vostok,46.4856,135.8833,14.5,84,6,3.69,RU,1634764849
